Árbitro,Partidos,Amarillas,A/P,Rojas,R/P,T/P
Cuadra Fernández,40,243,"6,075",18,"0,45","6,525"
De Burgos Bengoetxea,50,242,"4,84",12,"0,24","5,08"
Díaz de Mera Escuderos,45,276,"6,133333333",16,"0,3555555556","6,488888889"
Figueroa Vázquez,45,216,"4,8",14,"0,3111111111","5,111111111"
García Verdura,7,30,"4,285714286",1,"0,1428571429","4,428571429"
Gil Manzano,48,241,"5,020833333",14,"0,2916666667","5,3125"
González Fuertes,47,238,"5,063829787",15,"0,3191489362","5,382978723"
Hernández Maeso,7,41,"5,857142857",1,"0,1428571429",6
Hernández Hernández,44,296,"6,727272727",17,"0,3863636364","7,113636364"
Javier Iglesias Villanueva,27,122,"4,518518519",5,"0,1851851852","4,703703704"
Martínez Munuera,40,202,"5,05",11,"0,275","5,325"
Melero López,41,167,"4,073170732",5,"0,1219512195","4,195121951"
Munuera Montero,46,222,"4,826086957",13,"0,2826086957","5,108695652"
Muñiz Ruiz,44,250,"5,681818182",14,"0,3181818182",6
Ortiz Arias,42,195,"4,642857143",21,"0,5","5,142857143"
Pulido Santana,27,132,"4,888888889",8,"0,2962962963","5,185185185"
Sánchez Martínez,47,250,"5,319148936",9,"0,1914893617","5,510638298"
Soto Grado,51,300,"5,882352941",11,"0,2156862745","6,098039216"
Alberola Rojas,42,151,"3,595238095",8,"0,1904761905","3,785714286"
Busquets Ferrer,6,33,"5,5",2,"0,3333333333","5,833333333"